Project ID;Project Title;Client;Stakeholders;Category;Education;Lectoraat;Researcher;Tags;Contact Info Client;Contact Info Lectoraat;Project Goal;Results;Start Date;Intake Date;Review Date;EndDate;Submit Date;ProjectStatus;ProjectDuration;Dependencies
16;Project P;Client P;Stakeholder 2, Stakeholder 4;Research;Department B;Lectoraat X;Researcher 16;Tag 2, Tag 4;clientp@email.com;lectoraatx@email.com;Research on Topic P;Results of Project P;20-1-2023;1-1-2023;20-2-2023;1-4-2023;1-1-2023;Planned;;-1
17;Project Q;Client Q;Stakeholder 3, Stakeholder 5;Development;Department A;Lectoraat Y;Researcher 17;Tag 3, Tag 5;clientq@email.com;lectoraaty@email.com;Development of Product Q;Results of Project Q;2-2-2023;1-2-2023;2-3-2023;10-4-2023;1-2-2023;Completed;67;16
18;Project R;Client R;Stakeholder 1, Stakeholder 2;Education;Department C;Lectoraat Z;Researcher 18;Tag 1, Tag 2;clientr@email.com;lectoraatz@email.com;Education Program R;Results of Project R;2-3-2023;1-3-2023;2-4-2023;5-5-2023;1-3-2023;Ongoing;;17
19;Project S;Client S;Stakeholder 2, Stakeholder 3;Research;Department B;Lectoraat X;Researcher 19;Tag 2, Tag 3;clients@email.com;lectoraatx@email.com;Research on Topic S;Results of Project S;2-1-2023;1-1-2023;2-2-2023;10-3-2023;1-1-2023;Ongoing;;18
20;Project T;Client T;Stakeholder 1, Stakeholder 4;Development;Department A;Lectoraat Y;Researcher 20;Tag 1, Tag 4;clientt@email.com;lectoraaty@email.com;Development of Product T;Results of Project T;12-2-2023;1-2-2023;12-3-2023;20-4-2023;1-2-2023;Planned;;-1
21;Project U;Client U;Stakeholder 1, Stakeholder 3;Education;Department C;Lectoraat Z;Researcher 21;Tag 1, Tag 3;clientu@email.com;lectoraatz@email.com;Education Program U;Results of Project U;8-3-2023;1-3-2023;8-4-2023;15-5-2023;1-3-2023;Completed;68;20
22;Project V;Client V;Stakeholder 2, Stakeholder 4;Research;Department B;Lectoraat X;Researcher 22;Tag 2, Tag 4;clientv@email.com;lectoraatx@email.com;Research on Topic V;Results of Project V;8-1-2023;1-1-2023;8-2-2023;20-3-2023;1-1-2023;Ongoing;;21
23;Project W;Client W;Stakeholder 3, Stakeholder 5;Development;Department A;Lectoraat Y;Researcher 23;Tag 3, Tag 5;clientw@email.com;lectoraaty@email.com;Development of Product W;Results of Project W;18-2-2023;1-2-2023;18-3-2023;30-4-2023;1-2-2023;Planned;;-1
24;Project X;Client X;Stakeholder 1, Stakeholder 2;Education;Department C;Lectoraat Z;Researcher 24;Tag 1, Tag 2;clientx@email.com;lectoraatz@email.com;Education Program X;Results of Project X;12-3-2023;1-3-2023;12-4-2023;20-5-2023;1-3-2023;Ongoing;;23
25;Project Y;Client Y;Stakeholder 2, Stakeholder 3;Research;Department A;Lectoraat X;Researcher 25;Tag 2, Tag 3;clienty@email.com;lectoraatx@email.com;Research on Topic Y;Results of Project Y;12-1-2023;1-1-2023;12-2-2023;25-3-2023;1-1-2023;Completed;73;24
26;Project Z;Client Z;Stakeholder 1, Stakeholder 4;Development;Department B;Lectoraat Y;Researcher 26;Tag 1, Tag 4;clientz@email.com;lectoraaty@email.com;Development of Product Z;Results of Project Z;28-2-2023;1-2-2023;28-3-2023;10-5-2023;1-2-2023;Planned;;-1
27;Project AA;Client AA;Stakeholder 1, Stakeholder 3;Education;Department A;Lectoraat Z;Researcher 27;Tag 1, Tag 3;clientaa@email.com;lectoraatz@email.com;Education Program AA;Results of Project AA;18-3-2023;1-3-2023;18-4-2023;25-5-2023;1-3-2023;Ongoing;;26
28;Project AB;Client AB;Stakeholder 2, Stakeholder 4;Research;Department C;Lectoraat X;Researcher 28;Tag 2, Tag 4;clientab@email.com;lectoraatx@email.com;Research on Topic AB;Results of Project AB;18-1-2023;1-1-2023;18-2-2023;5-4-2023;1-1-2023;Completed;76;27
29;Project AC;Client AC;Stakeholder 3, Stakeholder 5;Development;Department B;Lectoraat Y;Researcher 29;Tag 3, Tag 5;clientac@email.com;lectoraaty@email.com;Development of Product AC;Results of Project AC;8-2-2023;1-2-2023;8-3-2023;15-4-2023;1-2-2023;Ongoing;;28
30;Project AD;Client AD;Stakeholder 1, Stakeholder 2;Education;Department A;Lectoraat Z;Researcher 30;Tag 1, Tag 2;clientad@email.com;lectoraatz@email.com;Education Program AD;Results of Project AD;1-3-2023;1-3-2023;1-4-2023;5-5-2023;1-3-2023;Planned;;-1
31;Project AE;Client AE;Stakeholder 2, Stakeholder 3;Research;Department B;Lectoraat X;Researcher 31;Tag 2, Tag 3;clientae@email.com;lectoraatx@email.com;Research on Topic AE;Results of Project AE;1-1-2023;1-1-2023;1-2-2023;10-3-2023;1-1-2023;Ongoing;;30
32;Project AF;Client AF;Stakeholder 1, Stakeholder 4;Development;Department C;Lectoraat Y;Researcher 32;Tag 1, Tag 4;clientaf@email.com;lectoraaty@email.com;Development of Product AF;Results of Project AF;20-2-2023;1-2-2023;20-3-2023;25-4-2023;1-2-2023;Completed;64;31
33;Project AG;Client AG;Stakeholder 1, Stakeholder 3;Education;Department A;Lectoraat Z;Researcher 33;Tag 1, Tag 3;clientag@email.com;lectoraatz@email.com;Education Program AG;Results of Project AG;10-3-2023;1-3-2023;10-4-2023;15-5-2023;1-3-2023;Ongoing;;32
34;Project AH;Client AH;Stakeholder 2, Stakeholder 4;Research;Department B;Lectoraat X;Researcher 34;Tag 2, Tag 4;clientah@email.com;lectoraatx@email.com;Research on Topic AH;Results of Project AH;5-1-2023;1-1-2023;5-2-2023;15-3-2023;1-1-2023;Planned;;-1
35;Project AI;Client AI;Stakeholder 3, Stakeholder 5;Development;Department C;Lectoraat Y;Researcher 35;Tag 3, Tag 5;clientai@email.com;lectoraaty@email.com;Development of Product AI;Results of Project AI;15-2-2023;1-2-2023;15-3-2023;20-4-2023;1-2-2023;Ongoing;;34
36;Project AJ;Client AJ;Stakeholder 1, Stakeholder 2;Education;Department A;Lectoraat Z;Researcher 36;Tag 1, Tag 2;clientaj@email.com;lectoraatz@email.com;Education Program AJ;Results of Project AJ;20-3-2023;1-3-2023;20-4-2023;25-5-2023;1-3-2023;Completed;66;35
37;Project AK;Client AK;Stakeholder 2, Stakeholder 3;Research;Department B;Lectoraat X;Researcher 37;Tag 2, Tag 3;clientak@email.com;lectoraatx@email.com;Research on Topic AK;Results of Project AK;15-1-2023;1-1-2023;15-2-2023;30-3-2023;1-1-2023;Planned;;-1
38;Project AL;Client AL;Stakeholder 1, Stakeholder 4;Development;Department C;Lectoraat Y;Researcher 38;Tag 1, Tag 4;cliental@email.com;lectoraaty@email.com;Development of Product AL;Results of Project AL;10-2-2023;1-2-2023;10-3-2023;20-4-2023;1-2-2023;Completed;70;37
39;Project AM;Client AM;Stakeholder 1, Stakeholder 3;Education;Department A;Lectoraat Z;Researcher 39;Tag 1, Tag 3;clientam@email.com;lectoraatz@email.com;Education Program AM;Results of Project AM;5-3-2023;1-3-2023;5-4-2023;10-5-2023;1-3-2023;Ongoing;;38
40;Project AN;Client AN;Stakeholder 2, Stakeholder 4;Research;Department B;Lectoraat X;Researcher 40;Tag 2, Tag 4;clientan@email.com;lectoraatx@email.com;Research on Topic AN;Results of Project AN;10-1-2023;1-1-2023;10-2-2023;20-3-2023;1-1-2023;Planned;;-1
41;Project AO;Client AO;Stakeholder 3, Stakeholder 5;Development;Department C;Lectoraat Y;Researcher 41;Tag 3, Tag 5;clientao@email.com;lectoraaty@email.com;Development of Product AO;Results of Project AO;25-2-2023;1-2-2023;25-3-2023;5-5-2023;1-2-2023;Completed;69;40
42;Project AP;Client AP;Stakeholder 1, Stakeholder 2;Education;Department A;Lectoraat Z;Researcher 42;Tag 1, Tag 2;clientap@email.com;lectoraatz@email.com;Education Program AP;Results of Project AP;15-3-2023;1-3-2023;15-4-2023;20-5-2023;1-3-2023;Ongoing;;41
43;Project AQ;Client AQ;Stakeholder 2, Stakeholder 3;Research;Department B;Lectoraat X;Researcher 43;Tag 2, Tag 3;clientaq@email.com;lectoraatx@email.com;Research on Topic AQ;Results of Project AQ;30-1-2023;1-1-2023;28-2-2023;10-4-2023;1-1-2023;Ongoing;;42
44;Project AR;Client AR;Stakeholder 1, Stakeholder 4;Development;Department C;Lectoraat Y;Researcher 44;Tag 1, Tag 4;clientar@email.com;lectoraaty@email.com;Development of Product AR;Results of Project AR;15-2-2023;1-2-2023;15-3-2023;25-4-2023;1-2-2023;Planned;;-1
45;Project AS;Client AS;Stakeholder 1, Stakeholder 3;Education;Department A;Lectoraat Z;Researcher 45;Tag 1, Tag 3;clientas@email.com;lectoraatz@email.com;Education Program AS;Results of Project AS;10-3-2023;1-3-2023;10-4-2023;15-5-2023;1-3-2023;Ongoing;;44
46;Project AT;Client AT;Stakeholder 2, Stakeholder 4;Research;Department B;Lectoraat X;Researcher 46;Tag 2, Tag 4;clientat@email.com;lectoraatx@email.com;Research on Topic AT;Results of Project AT;25-1-2023;1-1-2023;25-2-2023;5-4-2023;1-1-2023;Completed;70;45
47;Project AU;Client AU;Stakeholder 3, Stakeholder 5;Development;Department C;Lectoraat Y;Researcher 47;Tag 3, Tag 5;clientau@email.com;lectoraaty@email.com;Development of Product AU;Results of Project AU;5-2-2023;1-2-2023;5-3-2023;15-4-2023;1-2-2023;Ongoing;;46
48;Project AV;Client AV;Stakeholder 1, Stakeholder 2;Education;Department A;Lectoraat Z;Researcher 48;Tag 1, Tag 2;clientav@email.com;lectoraatz@email.com;Education Program AV;Results of Project AV;25-3-2023;1-3-2023;25-4-2023;30-5-2023;1-3-2023;Completed;66;47
49;Project AW;Client AW;Stakeholder 2, Stakeholder 3;Research;Department B;Lectoraat X;Researcher 49;Tag 2, Tag 3;clientaw@email.com;lectoraatx@email.com;Research on Topic AW;Results of Project AW;20-1-2023;1-1-2023;20-2-2023;1-4-2023;1-1-2023;Ongoing;;48
50;Project AX;Client AX;Stakeholder 1, Stakeholder 4;Development;Department C;Lectoraat Y;Researcher 50;Tag 1, Tag 4;clientax@email.com;lectoraaty@email.com;Development of Product AX;Results of Project AX;10-2-2023;1-2-2023;10-3-2023;20-4-2023;1-2-2023;Planned;;-1
